食材番号,食材名,エネルギー,タンパク質,脂質,炭水化物,食塩相当量
02069,＜いも類＞　アメリカほどいも　塊根　ゆで,144.0,6.0,0.8,34.5,0
02001,＜いも類＞　きくいも　塊茎　生,66.0,1.9,0.4,14.7,0
02041,＜いも類＞　きくいも　塊茎　水煮,51.0,1.6,0.5,11.3,0
02002,＜いも類＞　こんにゃく　精粉,194.0,3.0,0.1,85.3,0
02003,＜いも類＞　こんにゃく　板こんにゃく　精粉こんにゃく,5.0,0.1,0,2.3,0
02004,＜いも類＞　こんにゃく　板こんにゃく　生いもこんにゃく,8.0,0.1,0.1,3.3,0
02042,＜いも類＞　こんにゃく　赤こんにゃく,6.0,0.1,0,2.5,0
02043,＜いも類＞　こんにゃく　凍みこんにゃく　乾,192.0,3.3,1.4,77.1,0.1
02044,＜いも類＞　こんにゃく　凍みこんにゃく　ゆで,42.0,0.7,0.3,16.8,0
02005,＜いも類＞　こんにゃく　しらたき,7.0,0.2,0,3.0,0
02045,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　生,127.0,0.9,0.5,33.1,0.1
02046,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　蒸し,129.0,0.9,0.2,33.7,0.1
02047,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　天ぷら,205.0,1.4,6.8,38.4,0.1
02006,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　生,126.0,1.2,0.2,31.9,0
02007,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　蒸し,131.0,1.2,0.2,31.9,0
02008,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　焼き,151.0,1.4,0.2,39.0,0
02009,＜いも類＞　（さつまいも類）　さつまいも　蒸し切干,277.0,3.1,0.6,71.9,0
02048,＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　生,123.0,1.2,0.3,31.7,0.1
02049,＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　蒸し,122.0,1.2,0.3,31.4,0.1
02010,＜いも類＞　（さといも類）　さといも　球茎　生,53.0,1.5,0.1,13.1,0
02011,＜いも類＞　（さといも類）　さといも　球茎　水煮,52.0,1.5,0.1,13.4,0
02012,＜いも類＞　（さといも類）　さといも　球茎　冷凍,69.0,2.2,0.1,16.1,0
02050,＜いも類＞　（さといも類）　セレベス　球茎　生,80.0,2.2,0.3,19.8,0
02051,＜いも類＞　（さといも類）　セレベス　球茎　水煮,77.0,2.1,0.3,19.1,0
02052,＜いも類＞　（さといも類）　たけのこいも　球茎　生,97.0,1.7,0.4,23.5,0
02053,＜いも類＞　（さといも類）　たけのこいも　球茎　水煮,86.0,1.6,0.4,21.8,0
02013,＜いも類＞　（さといも類）　みずいも　球茎　生,111.0,0.7,0.4,27.6,0
02014,＜いも類＞　（さといも類）　みずいも　球茎　水煮,101.0,0.7,0.4,26.1,0
02015,＜いも類＞　（さといも類）　やつがしら　球茎　生,94.0,3.0,0.7,20.5,0
02016,＜いも類＞　（さといも類）　やつがしら　球茎　水煮,92.0,2.7,0.6,20.0,0
02063,＜いも類＞　じゃがいも　塊茎　皮つき　生,51.0,1.8,0.1,15.9,0
02064,＜いも類＞　じゃがいも　塊茎　皮つき　電子レンジ調理,78.0,2.1,0.2,19.2,0
02065,＜いも類＞　じゃがいも　塊茎　皮つき　フライドポテト　（生を揚げたもの）,153.0,2.7,5.6,25.4,0
02017,＜いも類＞　じゃがいも　塊茎　皮なし　生,59.0,1.8,0.1,17.3,0
02019,＜いも類＞　じゃがいも　塊茎　皮なし　水煮,71.0,1.7,0.1,16.9,0
02018,＜いも類＞　じゃがいも　塊茎　皮なし　蒸し,76.0,1.9,0.3,18.1,0
02066,＜いも類＞　じゃがいも　塊茎　皮なし　電子レンジ調理,78.0,1.9,0.1,19.0,0
02067,＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　（生を揚げたもの）,159.0,2.7,5.9,26.2,0
02020,＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　（市販冷凍食品を揚げたもの）,229.0,2.9,10.6,32.4,0
02021,＜いも類＞　じゃがいも　乾燥マッシュポテト,347.0,6.6,0.6,82.8,0.2
02054,＜いも類＞　ヤーコン　塊根　生,52.0,0.6,0.3,12.4,0
02055,＜いも類＞　ヤーコン　塊根　水煮,42.0,0.6,0.3,9.9,0
02022,＜いも類＞　（やまのいも類）　ながいも　いちょういも　塊根　生,108.0,4.5,0.5,22.6,0
02023,＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　生,64.0,2.2,0.3,13.9,0
02024,＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　水煮,58.0,2.0,0.3,12.6,0
02025,＜いも類＞　（やまのいも類）　ながいも　やまといも　塊根　生,119.0,4.5,0.2,27.1,0
02026,＜いも類＞　（やまのいも類）　じねんじょ　塊根　生,118.0,2.8,0.7,26.7,0
02027,＜いも類＞　（やまのいも類）　だいじょ　塊根　生,102.0,2.6,0.1,25.0,0.1
02070,＜でん粉・でん粉製品＞　（でん粉類）　おおうばゆりでん粉,327.0,0.1,0.1,83.6,0
02028,＜でん粉・でん粉製品＞　（でん粉類）　キャッサバでん粉,354.0,0.1,0.2,85.3,0
02029,＜でん粉・でん粉製品＞　（でん粉類）　くずでん粉,356.0,0.2,0.2,85.6,0
02030,＜でん粉・でん粉製品＞　（でん粉類）　米でん粉,375.0,0.2,0.7,89.3,0
02031,＜でん粉・でん粉製品＞　（でん粉類）　小麦でん粉,360.0,0.2,0.5,86.0,0
02032,＜でん粉・でん粉製品＞　（でん粉類）　サゴでん粉,357.0,0.1,0.2,86.1,0
02033,＜でん粉・でん粉製品＞　（でん粉類）　さつまいもでん粉,340.0,0.1,0.2,82.0,0
02034,＜でん粉・でん粉製品＞　（でん粉類）　じゃがいもでん粉,338.0,0.1,0.1,81.6,0
02035,＜でん粉・でん粉製品＞　（でん粉類）　とうもろこしでん粉,363.0,0.1,0.7,86.3,0
02036,＜でん粉・でん粉製品＞　（でん粉製品）　くずきり　乾,341.0,0.2,0.2,87.7,0
02037,＜でん粉・でん粉製品＞　（でん粉製品）　くずきり　ゆで,133.0,0.1,0.1,33.3,0
02056,＜でん粉・でん粉製品＞　（でん粉製品）　ごま豆腐,75.0,1.5,4.3,9.1,0
02038,＜でん粉・でん粉製品＞　（でん粉製品）　タピオカパール　乾,352.0,0,0.2,87.8,0
02057,＜でん粉・でん粉製品＞　（でん粉製品）　タピオカパール　ゆで,61.0,0,0,15.4,0
02058,＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　生,129.0,0.1,0.2,32.2,0
02059,＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　乾,347.0,0.2,0.3,86.7,0.1
02060,＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　乾　ゆで,83.0,0,0.2,20.6,0
02039,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　緑豆はるさめ　乾,344.0,0.2,0.4,87.5,0
02061,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　緑豆はるさめ　ゆで,78.0,0,0.1,20.6,0
02040,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　普通はるさめ　乾,346.0,0,0.2,86.6,0
02062,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　普通はるさめ　ゆで,76.0,0,0,19.9,0
03001,（砂糖類）　黒砂糖,352.0,1.7,0,90.3,0.1
03030,（砂糖類）　てんさい含蜜糖,357.0,0.9,0,96.9,0.1
03002,（砂糖類）　和三盆糖,393.0,0.2,0,99.0,0
03003,（砂糖類）　車糖　上白糖,391.0,0.0,0.0,99.3,0
03004,（砂糖類）　車糖　三温糖,390.0,0,0.0,99.0,0
03005,（砂糖類）　ざらめ糖　グラニュー糖,394.0,0.0,0.0,100.0,0
03006,（砂糖類）　ざらめ糖　白ざら糖,393.0,0.0,0.0,100.0,0
03007,（砂糖類）　ざらめ糖　中ざら糖,393.0,0.0,0.0,100.0,0
03008,（砂糖類）　加工糖　角砂糖,394.0,0.0,0.0,100.0,0
03009,（砂糖類）　加工糖　氷砂糖,394.0,0.0,0.0,100.0,0
03010,（砂糖類）　加工糖　コーヒーシュガー,394.0,0.1,0.0,99.8,0
03011,（砂糖類）　加工糖　粉糖,393.0,0.0,0.0,99.7,0
03012,（砂糖類）　液糖　しょ糖型液糖,267.0,0.0,0.0,67.9,0
03013,（砂糖類）　液糖　転化型液糖,294.0,0.0,0.0,76.6,0
03014,（砂糖類）　氷糖みつ,274.0,0.2,0.0,68.2,0
03031,（でん粉糖類）　還元麦芽糖,208.0,0,0,100.0,0
03032,（でん粉糖類）　還元水あめ,210.0,0,0,69.9,0
03015,（でん粉糖類）　粉あめ,397.0,0.0,0.0,97.0,0
